# Simulation 1 (Up to date)
# 877 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (m),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
291.77,0.482,34.253
291.873,0.485,34.253
291.953,0.488,34.253
292.008,0.488,34.253
292.039,0.49,34.253
# Event APOGEE occurred at t=7.596 seconds
292.047,0.491,34.253
292.032,0.493,34.253
291.993,0.493,34.253
291.929,0.491,34.253
291.842,0.489,34.253
291.731,0.489,34.253
291.596,0.485,34.253
291.437,0.481,34.253
291.255,0.477,34.253
291.057,0.474,34.253
290.867,0.471,34.253
290.688,0.469,34.253
290.518,0.467,34.253
290.357,0.465,34.253
290.201,0.464,34.253
290.05,0.462,34.253
289.904,0.461,34.253
289.76,0.46,34.253
289.617,0.459,34.253
289.474,0.458,34.253
289.331,0.457,34.253
289.189,0.456,34.253
289.046,0.456,34.253
288.901,0.455,34.253
288.755,0.454,34.253
288.608,0.453,34.253
288.459,0.452,34.253
288.308,0.451,34.253
288.154,0.45,34.253
287.996,0.45,34.253
287.834,0.449,34.253
287.666,0.448,34.253
287.49,0.447,34.253
287.3,0.446,34.253
287.092,0.446,34.253
286.858,0.445,34.253
286.584,0.444,34.253
286.282,0.442,34.253
285.981,0.442,34.253
285.68,0.441,34.253
285.373,0.44,34.253
285.057,0.439,34.253
284.729,0.438,34.253
284.383,0.437,34.253
284.136,0.436,34.253
283.929,0.436,34.253
283.743,0.436,34.253
283.573,0.436,34.253
283.413,0.436,34.253
283.264,0.436,34.253
283.124,0.436,34.253
282.991,0.436,34.253
282.863,0.436,34.253
282.739,0.436,34.253
282.619,0.436,34.253
282.502,0.436,34.253
282.387,0.436,34.253
282.275,0.436,34.253
282.165,0.436,34.253
282.056,0.436,34.253
281.95,0.436,34.253
281.844,0.436,34.253
281.741,0.436,34.253
281.638,0.436,34.253
281.537,0.436,34.253
281.437,0.436,34.253
281.338,0.436,34.253
281.24,0.436,34.253
281.144,0.436,34.253
281.048,0.436,34.253
280.953,0.436,34.253
280.857,0.436,34.253
280.762,0.436,34.253
280.667,0.436,34.253
280.571,0.436,34.253
280.474,0.436,34.253
280.376,0.436,34.253
280.277,0.436,34.253
280.177,0.436,34.253
280.075,0.436,34.253
279.97,0.436,34.253
279.861,0.436,34.253
279.75,0.436,34.253
279.633,0.436,34.253
279.512,0.436,34.253
279.383,0.436,34.253
279.248,0.436,34.253
279.103,0.436,34.253
278.946,0.436,34.253
278.773,0.436,34.253
